Name,Type,Hours,Accessible,Lat,Long
Blackhall Cycle Repairs,bicycle,,,55.9573359,-3.2497051
B G Cycles,bicycle,,,55.9549411,-3.1174700
Hermiston Motor Company,car,,,55.9184179,-3.3148233
TK Maxx,clothes,,,55.9579914,-3.1661172
Marks & Spencer Outlet,clothes,,,55.9587242,-3.1654064
Tesco Express,supermarket,Mo-Su 06:00-23:00,,55.9503203,-3.1782658
Links Convenience Store,convenience,,,55.9732566,-3.1650777
Farmer Autocare,car_repair,,,55.9553448,-3.1442758
Poundland,department_store,,,55.9587914,-3.1650044
I.J. Mellis,cheese,,,55.9575980,-3.2076553
Oxfam Books,books,,,55.9588659,-3.2111897
Gregg's,bakery,,,55.9588767,-3.2113228
Carnies Autocentre,car_repair,,,55.9401993,-3.2400658
B&Q,garden_centre,,,55.9318588,-3.0991264
Margiotta,convenience,,,55.9599005,-3.2008967
,garden_centre,,,55.9641668,-3.2124109
Tesco Express,convenience,,,55.9472473,-3.1374845
Sainsbury's,supermarket,Mo-Sa 07:30-22:00; Su 08:00-20:00,yes,55.9269783,-3.1633004
KB Shop,convenience,,,55.9228915,-3.1746724
,vacant,,,55.9398308,-3.2041793
Edinburgh Bicycle Co-operative,bicycle,,,55.9621555,-3.1958412
AMT Coffee,kiosk,,,55.9455285,-3.2183503
Farmer,car_repair,,,55.9605084,-3.2565551
Unknown Pleasures,music,,,55.9516371,-3.1782872
Scotmid,convenience,,,55.9765746,-3.2155952
Catwalk,clothes,Mo 11:00-16:00;Tu-Fr 10:30-17:00;Sa 10:30-16:30,,55.9707445,-3.2083161
Elliott Clark Flowers,florist,Mo-Fr 08:00-17:30; Sa 08:00-17:00; Su 10:00-16:00,,55.9704132,-3.2080046
The Craftye Fisherman,fishing,,,55.9704375,-3.2080275
J Brown,seafood,,,55.9698585,-3.2074755
Botanic Barbers,hairdresser,,,55.9699263,-3.2075433
Rodger & Smalridge,optician,Mo-Fr 09:00-17:30; Tu 09:00-19:00; Sa 09:00-12:30,,55.9698130,-3.2074301
Stuart Martin Framing,frame,,,55.9657690,-3.2035466
McPherson Day Gallery,antiques,,,55.9565166,-3.1985725
Colin Campbell Sports,sports,"Mo-Fr 09:00-17:30, Sa 08:00-13:00",,55.9657335,-3.2035068
Just Chairs,furniture,,,55.9658010,-3.2035800
John Hall,hairdresser,,,55.9620275,-3.2004179
Phase,hairdresser,,,55.9620766,-3.2003138
Christopher Ness Jewellery,jewelry,,,55.9591987,-3.2000020
Sandy Jones,hairdresser,,,55.9619677,-3.2005446
Barnton Fine Foods,bakery,,,55.9614993,-3.3058797
Raymond,hairdresser,,,55.9618494,-3.3060047
Barbers,hairdresser,,,55.9708099,-3.2089052
William Purves,funeral_directors,,,55.9713277,-3.2072242
D:Isis Hair,beauty,,,55.9709351,-3.2090211
best-one,convenience,,,55.9708725,-3.2089620
User 2 Computers,computer,,,55.9710524,-3.2091319
Inverleith Drycleaners,dry_cleaning,,,55.9707825,-3.2088808
Zuba hair & beauty,beauty,,,55.9709901,-3.2090730
Costcutter,convenience,,,55.9707109,-3.2088175
Domo,clothes,,,55.9810044,-3.1775316
Holland & Barrett,chemist,,yes,55.9817506,-3.1769104
White Stuff,clothes,,yes,55.9815721,-3.1770519
Toys R Us,toys,,yes,55.9808985,-3.1775380
Baxters - Closed,deli,,yes,55.9807263,-3.1786131
Imported Instruments,musical_instrument,,,55.9808631,-3.1777927
EE,mobile_phone,,,55.9815970,-3.1771940
Xile,clothes,,yes,55.9814580,-3.1772610
The Perfume Shop,perfume,,,55.9805986,-3.1790384
Bishop Newsagents,newsagent,,,55.9807117,-3.1778550
M&S Simply Food,convenience,,yes,55.9804302,-3.1792045
Ness Clothing,clothes,,,55.9807218,-3.1780537
H. Samuel,jewelry,,,55.9814434,-3.1774778
The Body Shop,cosmetics,,,55.9805218,-3.1791802
Fat Face,clothes,,yes,55.9812164,-3.1771401
New Look,clothes,,yes,55.9803685,-3.1785169
Mostyn McKenzie,shoes,,,55.9805804,-3.1783147
Goldsmiths,jewelry,,,55.9812898,-3.1777616
Maddie & Mark's Play Town,yes,,,55.9816755,-3.1766706
Debenhams,department_store,,yes,55.9819022,-3.1761309
Superdry,clothes,,yes,55.9810426,-3.1780289
Build-A-Bear,toys,,yes,55.9810751,-3.1774011
Vision Express,optician,,yes,55.9811362,-3.1780453
Schuh,shoes,,yes,55.9814284,-3.1765591
Sofa Workshop,furniture,,yes,55.9808348,-3.1784128
Trespass,outdoor,,yes,55.9809340,-3.1776620
Carphone Warehouse,mobile_phone,,,55.9816738,-3.1770522
O2,mobile_phone,,,55.9809826,-3.1783290
Thorntons,confectionery,,,55.9811635,-3.1770486
Claire's Accessories,accessories,,,55.9815202,-3.1773360
Pure Spa,beauty,,,55.9812190,-3.1773250
Phones 4 U,mobile_phone,,,55.9808290,-3.1786128
JOY,clothes,,yes,55.9815697,-3.1764875
